dataset,structure_id,structure_class,x0,y0,x1,y1,cx,cy,radius_m,notes
walls_pillars_3,pillar_01,pillar,,,,,-13.590102,1.749209,,
walls_pillars_3,pillar_02,pillar,,,,,-10.853495,-0.172883,,
walls_pillars_3,pillar_03,pillar,,,,,-5.396505,-3.983367,,
walls_pillars_3,pillar_04,pillar,,,,,1.377688,-4.971270,,
walls_pillars_3,pillar_05,pillar,,,,,-2.150538,-9.910786,,
walls_pillars_3,pillar_06,pillar,,,,,4.670699,-0.125840,,
walls_pillars_3,pillar_07,pillar,,,,,-5.302419,-14.379872,,
walls_pillars_3,pillar_08,pillar,,,,,-19.086022,5.519321,,
walls_pillars_3,pillar_09,pillar,,,,,-10.383065,-10.804603,,
walls_pillars_3,pillar_10,pillar,,,,,-28.823925,1.991095,,
walls_pillars_3,wall_01,wall,-4.879032,-14.568044,4.952957,-0.219926,,,,
walls_pillars_3,wall_02,wall,-8.219086,9.000504,4.952957,-0.266969,,,,
walls_pillars_3,wall_03,wall,-8.266129,8.953461,-11.982527,3.966902,,,,
walls_pillars_3,wall_04,wall,-16.216398,6.789483,-11.982527,3.825773,,,,
walls_pillars_3,wall_05,wall,-29.153226,2.320397,-24.307796,9.235719,,,,
walls_pillars_3,wall_06,wall,-29.247312,2.273353,-18.662634,-5.206485,,,,
walls_pillars_3,wall_07,wall,-18.380376,-5.347614,-15.698925,-7.182292,,,,
walls_pillars_3,wall_08,wall,-15.604839,-7.276378,-4.926075,-14.615087,,,,
walls_pillars_3,wall_09,wall,-22.661290,8.012601,-20.732527,10.741095,,,,
walls_pillars_3,wall_10,wall,-24.213710,9.235719,-22.661290,8.059644,,,,
walls_pillars_3,pillar_11,pillar,,,,,-25.907258,6.554267,,
walls_pillars_3,pillar_12,pillar,,,,,-23.413978,-1.490087,,
walls_pillars_3,pillar_13,pillar,,,,,-16.316398,9.076848,,
walls_pillars_3,wall_11,wall,-20.685484,10.741095,-22.473118,11.964214,,,,
walls_pillars_3,wall_12,wall,-20.826613,14.128192,-22.426075,11.964214,,,,
walls_pillars_3,wall_13,wall,-20.826613,14.081149,-14.287634,9.565020,,,,
walls_pillars_3,wall_14,wall,-14.240591,9.565020,-16.216398,6.789483,,,,
walls_pillars_3,pillar_14,pillar,,,,,-5.866935,7.024698,,
walls_pillars_3,pillar_15,pillar,,,,,-0.444892,2.919859,,
