evaluation_scope,dataset,model,structure_class,annotation_id,annotation_class,nearest_predictions,aligned_predictions,best_prediction_id,best_match_cost,best_angle_error_deg,best_offset_error_m,best_segment_gap_m,best_overlap_ratio,best_xy_error_m
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_01,wall,4,3,24,0.051498,0.318039,0.004697,0.000000,0.991745,
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_02,wall,1,0,38,16.636429,43.056684,3.475005,1.566830,0.000000,
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_03,wall,3,0,18,1.517472,1.957306,0.146719,0.000000,0.023497,
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_04,wall,6,5,29,0.028495,0.159407,0.003428,0.000000,0.999996,
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_05,wall,1,1,1,0.262275,0.652975,0.072261,0.000000,0.964412,
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_06,wall,2,1,3,1.007508,3.773216,0.214343,0.000000,0.997832,
solid_wall_only,teste_percepcion_5_0,InGraph,wall,wall_07,wall,1,0,5,2.813447,5.236057,0.863576,0.000000,0.995827,
solid_wall_only,teste_percepcion_5_0,InGraph,pipe,pipe_01,pipe,1,1,44,0.270555,,,,,0.094694
solid_wall_only,teste_percepcion_5_0,InGraph,pipe,pipe_02,pipe,1,1,36,0.077539,,,,,0.027139
solid_wall_only,teste_percepcion_5_0,S-Graphs,wall,wall_01,wall,2,2,x:3,0.826385,6.379787,0.011565,0.000000,0.987517,
solid_wall_only,teste_percepcion_5_0,S-Graphs,wall,wall_02,wall,0,0,,,,,,,
solid_wall_only,teste_percepcion_5_0,S-Graphs,wall,wall_03,wall,0,0,,,,,,,
solid_wall_only,teste_percepcion_5_0,S-Graphs,wall,wall_04,wall,3,0,y:22,2.304140,9.139799,0.464666,0.000000,0.987304,
solid_wall_only,teste_percepcion_5_0,S-Graphs,wall,wall_05,wall,0,0,,,,,,,
solid_wall_only,teste_percepcion_5_0,S-Graphs,wall,wall_06,wall,1,0,y:10,6.334190,14.290467,1.153136,0.665041,0.000000,
solid_wall_only,teste_percepcion_5_0,S-Graphs,wall,wall_07,wall,0,0,,,,,,,
solid_wall_only,teste_percepcion_5_0,S-Graphs,pipe,pipe_01,pipe,0,0,,,,,,,
solid_wall_only,teste_percepcion_5_0,S-Graphs,pipe,pipe_02,pipe,0,0,,,,,,,
