evaluation_scope,dataset,model,structure_class,annotation_id,annotation_class,nearest_predictions,aligned_predictions,best_prediction_id,best_match_cost,best_angle_error_deg,best_offset_error_m,best_segment_gap_m,best_overlap_ratio,best_xy_error_m
walllike_boundary,walls_pillars_3,InGraph,wall,wall_01,wall,9,8,131,0.052400,0.218419,0.010039,0.000000,0.999993,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_02,wall,7,7,111,0.105055,0.387150,0.022665,0.000000,0.999977,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_03,wall,1,1,101,0.284413,1.201005,0.053715,0.000000,0.544569,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_04,wall,1,1,53,0.095036,0.041683,0.035930,0.000000,0.870515,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_05,wall,1,1,79,0.110754,0.367036,0.025950,0.000000,0.999979,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_06,wall,3,1,99,0.439210,1.716431,0.089862,0.000000,0.999551,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_07,wall,1,0,55,2.188746,2.500199,0.750488,0.000000,0.999048,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_08,wall,2,2,43,0.608646,0.440633,0.221427,0.000000,0.999970,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_09,wall,1,1,77,0.271124,0.705132,0.073193,0.000000,0.982669,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_10,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_11,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_12,wall,1,1,89,0.215520,1.395548,0.016431,0.000000,0.940801,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_13,wall,1,1,88,0.245427,0.472447,0.074549,0.000000,0.933299,
walllike_boundary,walls_pillars_3,InGraph,wall,wall_14,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_01,pillar,2,2,106,0.306534,,,,,0.168594
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_02,pillar,2,2,97,0.167865,,,,,0.092326
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_03,pillar,3,3,8,0.158104,,,,,0.086957
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_04,pillar,2,2,178,0.579049,,,,,0.318477
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_05,pillar,2,2,165,0.459714,,,,,0.252843
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_06,pillar,1,1,4,0.353570,,,,,0.194463
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_07,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_08,pillar,1,1,98,0.536208,,,,,0.294914
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_09,pillar,1,0,63,12.412549,,,,,6.826902
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_10,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_11,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_12,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_13,pillar,1,1,81,0.258472,,,,,0.142160
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_14,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,InGraph,pillar,pillar_15,pillar,1,1,7,0.186039,,,,,0.102322
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_01,wall,5,2,x:6,0.942581,3.598477,0.197109,0.000000,0.998028,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_02,wall,5,2,y:57,1.040538,4.975237,0.167453,0.000000,0.996232,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_03,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_04,wall,2,1,y:33,0.262096,1.940782,0.007799,0.000000,1.000000,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_05,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_06,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_07,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_08,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_09,wall,1,0,x:38,2.829156,7.439450,0.759690,0.000000,1.000000,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_10,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_11,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_12,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_13,wall,2,1,y:40,0.306823,1.592461,0.043106,0.000000,0.999614,
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_14,wall,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_01,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_02,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_03,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_04,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_05,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_06,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_07,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_08,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_09,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_10,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_11,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_12,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_13,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_14,pillar,0,0,,,,,,,
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_15,pillar,0,0,,,,,,,
