evaluation_scope,dataset,model,structure_class,annotation_id,annotation_class,nearest_predictions,aligned_predictions,best_prediction_id,best_match_cost,best_angle_error_deg,best_offset_error_m,best_segment_gap_m,best_overlap_ratio,best_xy_error_m,source_file,source_dataset
walllike_boundary,walls_pillars_3,InGraph,wall,wall_01,wall,9,8,131,0.052400,0.218419,0.010039,0.000000,0.999993,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_02,wall,7,7,111,0.105055,0.387150,0.022665,0.000000,0.999977,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_03,wall,1,1,101,0.284413,1.201005,0.053715,0.000000,0.544569,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_04,wall,1,1,53,0.095036,0.041683,0.035930,0.000000,0.870515,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_05,wall,1,1,79,0.110754,0.367036,0.025950,0.000000,0.999979,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_06,wall,3,1,99,0.439210,1.716431,0.089862,0.000000,0.999551,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_07,wall,1,0,55,2.188746,2.500199,0.750488,0.000000,0.999048,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_08,wall,2,2,43,0.608646,0.440633,0.221427,0.000000,0.999970,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_09,wall,1,1,77,0.271124,0.705132,0.073193,0.000000,0.982669,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,wall,wall_10,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
