evaluation_scope,dataset,model,structure_class,total_predictions,total_annotations,aligned_predictions,matched_annotations,alignment_precision,instance_precision,physical_recall,fragmentation_index_mean,fragmentation_index_max,median_angle_error_deg,median_offset_error_m,median_segment_gap_m,median_overlap_ratio,median_xy_error_m,source_file,source_dataset
walllike_boundary,walls_pillars_3,InGraph,wall,28,14,24,10,0.857143,0.357143,0.714286,2.400000,8,0.456540,0.073871,0.000000,0.999722,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pillar,16,15,15,9,0.937500,0.562500,0.600000,1.666667,3,,,,,0.194463,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,InGraph,pipe,1,0,0,0,0.000000,0.000000,0.000000,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,15,14,6,4,0.400000,0.266667,0.285714,1.500000,2,3.817848,0.182281,0.000000,0.997130,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary.csv,walls_pillars_3
walllike_boundary,teste_percepcion_5_0,InGraph,wall,18,11,17,8,0.944444,0.444444,0.727273,2.125000,5,0.769732,0.057853,0.000000,0.997832,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,pipe,2,2,2,2,1.000000,1.000000,1.000000,1.000000,1,,,,,0.060916,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,S-Graphs,wall,6,11,4,2,0.666667,0.333333,0.181818,2.000000,2,1.496253,0.300308,0.000000,0.999640,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary.csv,teste_percepcion_5_0
solid_wall_only,teste_percepcion_5_0,InGraph,wall,18,7,10,4,0.555556,0.222222,0.571429,2.500000,5,0.841242,0.041325,0.000000,0.994789,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary_solid_wall_only.csv,teste_percepcion_5_0
solid_wall_only,teste_percepcion_5_0,InGraph,pipe,2,2,2,2,1.000000,1.000000,1.000000,1.000000,1,,,,,0.060916,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary_solid_wall_only.csv,teste_percepcion_5_0
solid_wall_only,teste_percepcion_5_0,S-Graphs,wall,6,7,2,1,0.333333,0.166667,0.142857,2.000000,2,3.760453,0.181994,0.000000,0.993659,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary_solid_wall_only.csv,teste_percepcion_5_0
solid_wall_only_excluding_boundary_predictions,teste_percepcion_5_0,InGraph,wall,11,7,10,4,0.909091,0.363636,0.571429,2.500000,5,0.841242,0.041325,0.000000,0.994789,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary_solid_wall_only_no_boundaries.csv,teste_percepcion_5_0
solid_wall_only_excluding_boundary_predictions,teste_percepcion_5_0,InGraph,pipe,2,2,2,2,1.000000,1.000000,1.000000,1.000000,1,,,,,0.060916,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary_solid_wall_only_no_boundaries.csv,teste_percepcion_5_0
solid_wall_only_excluding_boundary_predictions,teste_percepcion_5_0,S-Graphs,wall,4,7,2,1,0.500000,0.250000,0.142857,2.000000,2,3.760453,0.181994,0.000000,0.993659,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_alignment_summary_solid_wall_only_no_boundaries.csv,teste_percepcion_5_0
