plane_group,plane_id,observation_count,first_stamp,last_stamp,duration_s,point_count_mean,point_count_min,point_count_max,normal_angle_std_map_deg,normal_angle_std_odom_deg,d_map_mean,d_map_std,d_odom_mean,d_odom_std,centroid_x_odom_mean,centroid_y_odom_mean,centroid_z_odom_mean,map_to_odom_ratio
x,3,32,1778158926.4743845,1778159015.5718763,89.09749174118042,430.0,430.0,430.0,0.0,,4.171248912811279,0.0,,,,,,0.0
x,17,25,1778158949.073665,1778159015.5718763,66.49821138381958,105.0,105.0,105.0,0.0,,-5.41626501083374,0.0,,,,,,0.0
x,23,21,1778158961.1755223,1778159015.5718763,54.39635396003723,108.0,108.0,108.0,0.0,,8.105596542358398,0.0,,,,,,0.0
x,28,19,1778158965.6724327,1778159015.5718763,49.89944362640381,1245.8947368421052,668.0,1278.0,0.0,,5.492013931274414,0.0,,,,,,0.0
x,53,8,1778158998.0739324,1778159015.5718763,17.497943878173828,432.0,432.0,432.0,0.0,,21.84895133972168,0.0,,,,,,0.0
x,55,6,1778159004.5741148,1778159015.5718763,10.997761487960815,148.0,148.0,148.0,0.0,,23.95698356628418,0.0,,,,,,0.0
y,4,32,1778158926.4743845,1778159015.5718763,89.09749174118042,180.0,180.0,180.0,0.0,,2.786895275115967,0.0,,,,,,0.0
y,13,27,1778158942.0745595,1778159015.5718763,73.49731683731079,1228.8148148148148,539.0,1500.0,0.0,,-4.829274654388428,0.0,,,,,,0.0
y,32,18,1778158970.1727817,1778159015.5718763,45.399094581604004,103.0,103.0,103.0,0.0,,6.645115852355957,0.0,,,,,,0.0
y,33,18,1778158970.1727817,1778159015.5718763,45.399094581604004,136.0,136.0,136.0,0.0,,6.696384429931641,0.0,,,,,,0.0
y,44,14,1778158981.5729494,1778159015.5718763,33.998926877975464,1991.0714285714287,124.0,3272.0,0.0,,-4.028538227081299,0.0,,,,,,0.0
y,52,8,1778158998.0739324,1778159015.5718763,17.497943878173828,290.0,290.0,290.0,0.0,,-3.049866199493408,0.0,,,,,,0.0
y,59,4,1778159009.9728096,1778159015.5718763,5.599066734313965,259.75,145.0,298.0,0.0,,-5.072122097015381,0.0,,,,,,0.0
y,62,3,1778159015.5718763,1778159015.5718763,0.0,102.0,102.0,102.0,0.0,,-4.086854457855225,0.0,,,,,,0.0
