plane_group,plane_id,observation_count,first_stamp,last_stamp,duration_s,point_count_mean,point_count_min,point_count_max,normal_angle_std_map_deg,normal_angle_std_odom_deg,d_map_mean,d_map_std,d_odom_mean,d_odom_std,centroid_x_odom_mean,centroid_y_odom_mean,centroid_z_odom_mean,map_to_odom_ratio
x,4,59,1780326690.934662,1780326843.5347652,152.60010313987732,1271.915254237288,842.0,1287.0,0.05772574217407539,0.42144920442984307,4.355816396616273,0.008505660075367029,4.509920292514014,0.09870196695523863,-2.6830201754255634,-11.202545410771398,-2.0898687897392287,1.0
x,19,50,1780326720.6369326,1780326843.5347652,122.89783263206482,115.0,115.0,115.0,0.3395537129464528,0.2760337345413112,-8.832061729431153,0.1313761935721041,-8.661013045005744,0.12516995221575408,-15.22908405151801,-6.493095796601576,-2.835521003724957,1.0
x,32,40,1780326750.5337844,1780326843.5347652,93.00098085403442,143.0,143.0,143.0,0.4710021131340787,0.41115380620667713,16.895105409622193,0.02002423084281223,17.000597395912987,0.14000323276211785,-18.001266179176334,-5.725861388849246,-3.0050557174009414,1.0
x,57,21,1780326806.3346035,1780326843.5347652,37.20016169548035,157.0,157.0,157.0,5.5892605147234e-07,0.29102116369009023,23.15423347836449,8.324351891936965e-07,23.007454550932714,0.10281081331434733,-21.59167133970218,9.148945436929175,-3.221620370337719,1.0
x,61,20,1780326809.1362255,1780326843.5347652,34.398539781570435,123.0,123.0,123.0,0.09103713519168545,0.2723729017338351,26.0674747467041,0.01204343075442971,25.956483743604657,0.07984640063118624,-25.32808710875964,7.029541014748129,-2.584601997760802,1.0
x,63,16,1780326820.53467,1780326843.5347652,23.00009512901306,716.25,159.0,771.0,2.153074122816052,2.2289956614999458,23.82218372821808,0.0368390878441913,23.709964681493346,0.06593431507401913,-22.220791303337737,9.144678405504372,-3.312313280928784,1.0
x,75,10,1780326838.3336086,1780326843.5347652,5.2011566162109375,209.0,209.0,209.0,0.0004604354475556644,5.5651970560598795e-05,12.625432682037353,3.226887794857184e-05,12.571975544301578,4.344020894153453e-06,-10.514762967200022,7.210567074714888,-2.3224953842913365,1.0
y,16,51,1780326717.1342578,1780326843.5347652,126.40050745010376,114.0,114.0,114.0,0.27513300961530496,0.37015268159968473,15.227782342948165,0.06010001442666508,15.299934980515918,0.10905903777472284,-16.71882111878342,-6.573643936654352,-2.7773802097574762,1.0
y,43,31,1780326775.5338635,1780326843.5347652,68.00090169906616,451.0,451.0,451.0,0.005817273053192618,0.31536186179210446,6.315480970567273,0.0006552020394967875,6.536956015299991,0.10863156348582342,-3.2602333924767666,-10.816658297149324,-1.8346331650948147,1.0
y,53,25,1780326795.7351327,1780326843.5347652,47.79963254928589,963.72,221.0,1102.0,0.14779817496390849,0.31968711306057124,-3.852840013504028,0.043389376177306975,-4.013534305653409,0.1613252297241775,-13.899052444821558,5.017480783672252,-3.305707295497433,1.0
y,58,21,1780326806.3346035,1780326843.5347652,37.20016169548035,845.2380952380952,132.0,1377.0,0.05885797572292501,0.42495568872375594,-3.417161328451974,0.06210054031151357,-3.6085128719420743,0.18194277127205055,-14.651897172114733,5.62474829755148,-3.609508374331793,1.0
y,70,12,1780326832.1336467,1780326843.5347652,11.401118516921997,288.8333333333333,143.0,318.0,0.36545024704523676,0.21284347299686154,-3.323973457018534,0.10880462953180094,-3.4825847161073313,0.05633739561903968,-14.837916378591396,5.529471543920697,-3.399761879648247,1.0
y,77,9,1780326843.5347652,1780326843.5347652,0.0,133.0,133.0,133.0,0.0,0.0,-3.50728702545166,0.0,-3.637942675631911,0.0,-13.02920338252529,4.8059376908176095,-4.035133736962508,1.0
